satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Female,Loyal Customer,16,Personal Travel,Eco,1830,5,5,5,5,4,4,4,4,3,3,5,4,4,4,0,0
dissatisfied,Female,Loyal Customer,37,Business travel,Eco Plus,1482,2,5,5,5,2,2,2,2,3,3,3,2,3,2,6,5
dissatisfied,Female,disloyal Customer,61,Business travel,Business,1553,3,3,3,1,4,3,4,4,3,3,5,4,5,4,48,41
satisfied,Female,Loyal Customer,29,Business travel,Business,3921,2,3,2,2,5,5,5,5,4,3,5,5,5,5,0,0
dissatisfied,Male,disloyal Customer,25,Business travel,Eco,2582,2,2,2,3,4,2,4,4,2,3,4,1,3,4,0,0
dissatisfied,Male,Loyal Customer,22,Personal Travel,Eco,2078,1,2,1,4,2,1,3,2,3,2,3,1,4,2,0,0
dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,2223,4,3,4,2,4,4,1,4,4,2,3,4,4,4,28,22
dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1399,3,4,4,3,3,4,4,3,1,2,4,1,3,3,0,0
dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco,2394,3,3,3,2,3,3,3,3,1,5,4,4,1,3,16,41
dissatisfied,Male,Loyal Customer,49,Business travel,Business,114,1,3,3,3,2,3,4,4,4,4,1,4,4,3,0,0
satisfied,Female,Loyal Customer,7,Personal Travel,Eco,1095,4,4,4,4,3,3,4,3,3,3,3,3,3,1,15,0
dissatisfied,Female,disloyal Customer,33,Business travel,Business,1888,3,3,3,4,2,3,2,2,5,2,5,4,5,2,73,125
dissatisfied,Male,Loyal Customer,35,Personal Travel,Eco,2085,2,4,2,4,1,2,1,1,4,3,2,5,3,1,0,0
dissatisfied,Female,Loyal Customer,70,Personal Travel,Eco,691,4,5,4,2,1,1,4,5,5,4,5,4,5,2,0,0
satisfied,Male,Loyal Customer,27,Business travel,Business,2676,1,1,5,1,2,2,2,2,2,4,2,2,4,2,99,89
satisfied,Male,Loyal Customer,28,Business travel,Business,3395,1,1,1,1,2,2,2,2,4,3,5,4,5,2,0,0
dissatisfied,Male,Loyal Customer,56,Business travel,Business,59,4,1,1,1,2,3,3,2,2,2,4,3,2,4,15,21
dissatisfied,Male,disloyal Customer,26,Business travel,Business,3153,2,2,2,4,4,2,1,4,3,5,3,3,4,4,0,0
dissatisfied,Male,Loyal Customer,44,Business travel,Eco,1154,2,1,1,1,2,2,2,2,1,5,2,4,2,2,48,38
satisfied,Female,Loyal Customer,65,Personal Travel,Business,2600,1,1,2,1,3,4,5,4,4,4,5,3,4,5,0,0
satisfied,Female,Loyal Customer,37,Business travel,Business,1225,2,2,4,2,5,5,5,5,5,5,5,5,5,3,1,0
satisfied,Female,Loyal Customer,38,Business travel,Business,1599,2,1,2,2,2,5,4,5,5,5,5,3,5,5,8,0
dissatisfied,Male,disloyal Customer,38,Business travel,Eco,1652,1,4,1,3,3,1,3,3,2,3,4,1,4,3,8,2
satisfied,Female,Loyal Customer,21,Business travel,Business,4431,2,2,2,2,4,4,4,4,3,4,4,4,4,4,52,52
satisfied,Female,Loyal Customer,21,Personal Travel,Eco,2616,2,5,2,2,4,4,5,4,4,4,4,3,4,2,0,15
dissatisfied,Female,Loyal Customer,25,Business travel,Business,3176,2,2,2,2,2,2,2,2,1,1,2,1,3,2,0,0
dissatisfied,Male,disloyal Customer,36,Business travel,Business,1211,3,3,3,4,5,3,5,5,3,1,4,1,3,5,0,0
dissatisfied,Male,Loyal Customer,33,Personal Travel,Eco,2878,1,1,1,2,5,1,5,5,1,1,2,3,2,5,0,0
satisfied,Female,Loyal Customer,23,Business travel,Eco Plus,2717,5,4,4,4,5,5,3,5,1,4,1,5,4,5,0,1
dissatisfied,Male,Loyal Customer,29,Personal Travel,Eco,1946,3,3,3,3,3,3,3,3,3,5,4,3,3,3,0,0
dissatisfied,Male,Loyal Customer,31,Business travel,Business,1943,3,2,2,2,3,3,3,3,2,4,2,3,2,3,0,0
satisfied,Female,Loyal Customer,27,Personal Travel,Business,2623,0,5,0,4,5,0,5,5,5,2,4,4,5,5,1,0
satisfied,Male,disloyal Customer,23,Business travel,Eco,2843,5,5,5,5,5,5,5,5,3,3,5,1,5,5,1,0
satisfied,Female,Loyal Customer,40,Personal Travel,Eco,2198,4,4,4,4,5,5,5,3,3,4,4,5,3,5,32,27
satisfied,Female,Loyal Customer,57,Business travel,Business,284,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,2
satisfied,Male,Loyal Customer,44,Business travel,Business,1630,2,2,2,2,4,4,5,5,5,5,5,4,5,4,0,0
dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1597,3,1,3,4,1,3,1,1,1,4,4,1,4,1,65,68
dissatisfied,Male,Loyal Customer,25,Business travel,Business,3913,3,5,5,5,3,3,3,3,3,4,4,4,4,3,0,0
satisfied,Female,Loyal Customer,21,Personal Travel,Eco,1857,3,3,3,3,2,5,5,4,4,4,4,4,4,5,22,7
satisfied,Male,Loyal Customer,40,Business travel,Business,353,2,2,2,2,5,5,5,4,4,4,4,5,4,5,12,5
dissatisfied,Male,Loyal Customer,36,Personal Travel,Eco,2054,2,4,2,3,3,2,3,3,5,3,5,5,5,3,0,4
satisfied,Female,Loyal Customer,42,Business travel,Business,1993,2,2,2,2,5,5,4,5,5,5,5,5,5,5,2,0
dissatisfied,Female,Loyal Customer,31,Business travel,Eco,1465,2,2,2,2,2,2,2,2,1,1,3,1,4,2,2,0
dissatisfied,Male,Loyal Customer,30,Personal Travel,Eco,3602,2,4,2,2,4,2,4,4,4,3,4,3,5,4,0,0
satisfied,Male,Loyal Customer,61,Business travel,Business,3649,4,4,4,4,3,5,4,5,5,5,5,3,5,4,0,0
dissatisfied,Male,disloyal Customer,59,Business travel,Eco,2115,2,2,2,4,3,2,3,3,4,1,4,4,3,3,0,8
satisfied,Female,Loyal Customer,31,Business travel,Business,3133,5,5,1,5,3,4,3,3,1,4,1,1,2,3,22,0
dissatisfied,Female,disloyal Customer,13,Business travel,Eco,3190,2,3,3,4,3,2,3,3,2,2,3,3,3,3,2,0
dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,1140,4,4,4,5,2,4,2,2,3,2,5,4,4,2,28,30
satisfied,Female,Loyal Customer,50,Business travel,Business,1935,2,2,2,2,2,5,5,5,5,5,5,5,5,4,25,9
dissatisfied,Female,disloyal Customer,34,Business travel,Eco,2473,4,4,4,3,2,4,3,2,4,2,4,1,3,2,0,0
satisfied,Female,Loyal Customer,11,Personal Travel,Eco Plus,2179,4,1,4,2,2,4,2,2,2,2,3,1,2,2,16,11
dissatisfied,Female,disloyal Customer,10,Business travel,Eco,2020,3,2,3,4,3,3,3,3,1,5,3,1,3,3,93,63
satisfied,Male,Loyal Customer,35,Business travel,Business,3530,3,3,3,3,4,2,2,4,4,4,4,5,4,4,0,5
dissatisfied,Male,disloyal Customer,46,Business travel,Business,2513,3,3,3,2,1,3,1,1,4,4,3,5,4,1,0,4
satisfied,Female,Loyal Customer,51,Business travel,Business,1458,4,4,4,4,3,5,4,5,5,5,5,3,5,4,0,0
satisfied,Male,Loyal Customer,56,Business travel,Business,2327,3,3,3,3,4,1,2,4,4,4,4,4,4,4,0,6
dissatisfied,Female,disloyal Customer,39,Business travel,Business,1987,3,3,3,4,1,3,1,1,3,5,3,1,4,1,0,0
satisfied,Female,Loyal Customer,53,Personal Travel,Eco Plus,428,4,4,4,4,3,5,4,4,4,4,4,5,4,5,0,0
satisfied,Female,Loyal Customer,45,Business travel,Eco,647,4,3,3,3,4,5,5,4,4,4,4,4,4,1,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Eco,532,4,4,4,4,2,4,4,4,4,4,4,3,4,5,0,5
dissatisfied,Male,Loyal Customer,49,Business travel,Business,3299,3,5,5,5,5,4,3,3,3,3,3,4,3,3,31,24
dissatisfied,Female,Loyal Customer,54,Business travel,Business,238,2,3,4,3,4,3,3,2,2,2,2,1,2,3,3,0
satisfied,Female,Loyal Customer,30,Business travel,Business,3081,1,1,1,1,4,4,4,4,3,3,3,1,4,4,121,103
satisfied,Male,Loyal Customer,52,Business travel,Business,2332,5,5,5,5,2,4,1,4,4,4,4,3,4,4,15,0
satisfied,Female,Loyal Customer,59,Business travel,Business,2502,1,1,4,1,2,5,4,5,5,5,5,3,5,4,59,46
dissatisfied,Male,Loyal Customer,45,Business travel,Business,413,2,1,1,1,4,4,3,2,2,2,2,2,2,4,0,0
satisfied,Male,Loyal Customer,51,Business travel,Business,1349,4,4,4,4,3,4,5,3,3,3,3,5,3,5,0,0
satisfied,Male,Loyal Customer,38,Business travel,Eco Plus,1285,5,5,5,5,5,5,5,5,5,5,3,1,3,5,0,0
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,1975,3,2,3,4,1,3,1,1,1,3,3,1,4,1,0,0
satisfied,Female,Loyal Customer,56,Personal Travel,Eco Plus,576,2,2,2,2,4,4,4,4,4,4,4,4,4,5,0,5
dissatisfied,Male,Loyal Customer,44,Business travel,Business,260,1,1,4,1,1,3,4,1,1,1,1,3,1,3,19,20
satisfied,Female,Loyal Customer,49,Business travel,Business,568,5,5,5,5,2,4,4,3,3,3,3,3,3,5,8,1
satisfied,Female,Loyal Customer,19,Business travel,Business,4218,4,4,5,4,5,4,4,3,2,4,5,4,3,4,0,13
dissatisfied,Male,Loyal Customer,16,Personal Travel,Business,2233,3,3,3,4,5,3,5,5,5,4,3,1,1,5,0,0
dissatisfied,Male,disloyal Customer,18,Business travel,Eco Plus,2353,3,2,3,3,5,3,5,5,1,5,3,1,4,5,9,0
satisfied,Male,Loyal Customer,47,Business travel,Business,3552,3,3,3,3,1,5,2,4,4,4,4,2,4,4,12,0
satisfied,Female,Loyal Customer,47,Business travel,Business,3991,3,3,3,3,2,5,4,4,4,4,4,5,4,5,5,0
satisfied,Female,disloyal Customer,24,Business travel,Business,1984,5,0,5,2,4,5,5,4,5,5,5,4,4,4,0,0
dissatisfied,Male,Loyal Customer,19,Personal Travel,Eco,2905,4,4,4,2,4,4,4,4,5,2,4,4,5,4,0,0
satisfied,Male,Loyal Customer,22,Business travel,Business,2271,2,2,2,2,5,5,5,5,3,1,2,1,3,5,47,39
dissatisfied,Male,Loyal Customer,47,Personal Travel,Eco,1561,4,4,4,3,5,4,5,5,3,2,5,3,5,5,0,0
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco,2064,3,3,3,3,3,3,3,3,4,1,2,3,2,3,0,0
dissatisfied,Female,disloyal Customer,24,Business travel,Eco,2161,2,2,2,4,1,2,1,1,4,1,4,3,3,1,17,7
satisfied,Male,Loyal Customer,37,Business travel,Business,1691,2,2,2,2,3,1,3,4,4,4,5,4,4,2,0,0
dissatisfied,Male,disloyal Customer,26,Business travel,Business,2817,2,2,2,3,5,2,4,5,4,2,4,1,4,5,53,32
dissatisfied,Female,disloyal Customer,12,Business travel,Eco,2555,3,3,3,2,1,3,1,1,5,2,4,3,5,1,5,0
dissatisfied,Male,Loyal Customer,68,Business travel,Business,1758,2,1,1,1,5,3,4,2,2,2,2,1,2,2,0,0
satisfied,Male,Loyal Customer,22,Business travel,Eco,1640,4,3,3,3,4,4,4,4,1,4,1,5,5,4,2,6
dissatisfied,Male,Loyal Customer,58,Personal Travel,Eco,3158,3,3,3,4,5,3,5,5,5,4,5,5,4,5,0,0
satisfied,Male,Loyal Customer,35,Business travel,Business,1620,3,3,3,3,2,4,5,4,4,4,4,4,4,4,35,31
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,4051,1,1,1,3,3,1,1,3,2,3,3,3,3,3,0,0
satisfied,Female,Loyal Customer,56,Business travel,Business,734,2,2,2,2,2,5,4,2,2,2,2,3,2,5,7,5
satisfied,Female,Loyal Customer,26,Personal Travel,Eco,2334,4,4,4,4,3,5,5,5,5,5,5,5,5,4,37,30
satisfied,Female,Loyal Customer,44,Business travel,Business,1612,2,2,2,2,3,4,4,2,2,2,2,5,2,4,0,5
dissatisfied,Female,disloyal Customer,24,Personal Travel,Eco,2982,2,5,2,3,1,2,1,1,4,3,5,3,4,1,0,0
satisfied,Male,Loyal Customer,23,Business travel,Business,3954,1,1,1,1,5,5,5,5,2,5,2,5,2,5,22,21
satisfied,Female,Loyal Customer,67,Personal Travel,Eco,776,1,1,1,1,3,5,4,4,4,4,5,4,4,3,0,0
satisfied,Male,disloyal Customer,25,Business travel,Business,2238,5,0,5,3,4,5,4,4,4,4,5,5,4,4,7,4
satisfied,Male,Loyal Customer,42,Business travel,Business,2209,1,1,1,1,3,5,4,4,4,4,4,5,4,3,0,11
dissatisfied,Female,Loyal Customer,18,Business travel,Business,3275,4,3,3,3,4,4,4,4,2,4,3,1,4,4,0,0
satisfied,Male,Loyal Customer,38,Business travel,Eco Plus,2049,4,4,4,4,4,4,4,4,5,3,2,2,1,4,0,0
satisfied,Female,Loyal Customer,52,Business travel,Business,1991,3,3,3,3,4,5,4,5,5,5,5,3,5,4,4,19
dissatisfied,Male,Loyal Customer,35,Business travel,Business,4842,3,3,3,3,3,3,3,2,4,4,3,3,1,3,384,401
dissatisfied,Male,disloyal Customer,28,Business travel,Business,2695,3,3,3,4,4,3,4,4,5,5,4,4,5,4,0,0
dissatisfied,Male,disloyal Customer,33,Business travel,Business,3977,4,4,4,2,4,4,4,1,1,2,3,4,2,4,0,0
dissatisfied,Female,Loyal Customer,9,Personal Travel,Eco,1563,4,4,4,4,1,4,1,1,2,5,3,3,3,1,0,0
satisfied,Female,Loyal Customer,47,Business travel,Business,1428,4,4,4,4,4,4,5,2,2,2,2,3,2,3,0,2
satisfied,Male,Loyal Customer,14,Personal Travel,Eco,1300,4,1,4,4,1,4,1,1,2,1,3,4,4,1,54,63
satisfied,Female,Loyal Customer,48,Business travel,Business,1734,4,4,4,4,4,3,1,4,4,4,4,4,4,4,0,0
satisfied,Female,Loyal Customer,27,Personal Travel,Eco,3492,0,2,0,3,1,0,1,1,1,1,2,3,3,1,0,0
satisfied,Female,Loyal Customer,55,Personal Travel,Eco,2554,0,1,0,2,0,1,1,2,1,1,2,1,3,1,0,0
dissatisfied,Female,disloyal Customer,21,Business travel,Eco,1839,4,4,4,2,2,4,2,2,4,4,2,2,3,2,43,34
dissatisfied,Female,disloyal Customer,25,Business travel,Business,1794,3,5,3,1,4,3,4,4,5,3,4,5,5,4,0,0
satisfied,Male,Loyal Customer,47,Business travel,Business,2664,2,2,2,2,4,4,5,5,5,5,5,5,5,5,0,0
dissatisfied,Female,Loyal Customer,39,Business travel,Eco,1555,4,2,2,2,4,4,4,4,2,3,3,4,3,4,15,12
dissatisfied,Female,Loyal Customer,61,Business travel,Business,2975,4,1,1,1,4,3,3,4,4,4,4,1,4,1,32,16
satisfied,Male,Loyal Customer,41,Business travel,Business,3709,4,1,4,4,2,4,5,3,3,4,3,5,3,3,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,1433,5,4,0,4,2,0,1,2,1,5,5,3,1,2,0,0
satisfied,Female,Loyal Customer,18,Business travel,Eco,2837,5,3,3,3,5,5,3,5,4,3,1,4,2,5,0,0
dissatisfied,Female,Loyal Customer,13,Personal Travel,Eco,1984,3,5,3,4,3,3,3,3,3,2,5,4,5,3,0,0
dissatisfied,Female,disloyal Customer,32,Business travel,Business,2284,3,3,3,1,3,3,3,3,3,5,4,3,4,3,6,18
dissatisfied,Female,disloyal Customer,40,Business travel,Business,2057,2,2,2,3,1,2,1,1,4,3,5,3,4,1,6,4
satisfied,Female,Loyal Customer,39,Business travel,Business,2724,0,5,0,1,5,5,5,5,5,5,5,3,5,5,13,0
satisfied,Female,Loyal Customer,52,Business travel,Business,1220,4,4,4,4,5,4,4,4,4,4,4,4,4,3,10,28
satisfied,Female,Loyal Customer,63,Business travel,Business,3509,3,3,3,3,3,5,1,5,5,5,5,3,5,3,0,6
dissatisfied,Male,Loyal Customer,60,Personal Travel,Eco,3125,3,2,3,3,5,3,5,5,1,3,3,1,4,5,6,4
dissatisfied,Female,Loyal Customer,65,Business travel,Business,738,3,4,4,4,1,3,4,3,3,3,3,3,3,4,11,0
dissatisfied,Female,Loyal Customer,48,Personal Travel,Eco,2190,1,5,1,5,1,4,3,4,4,5,5,3,5,3,371,372
satisfied,Male,Loyal Customer,41,Business travel,Eco,1834,5,3,3,3,5,5,5,5,1,1,1,3,2,5,9,0
satisfied,Male,Loyal Customer,49,Business travel,Business,332,0,0,0,4,3,4,4,1,1,1,1,4,1,4,0,0
satisfied,Male,Loyal Customer,38,Business travel,Eco,2193,5,1,1,1,5,5,5,5,2,1,1,3,1,5,0,0
satisfied,Male,disloyal Customer,23,Business travel,Business,1852,4,0,4,4,5,4,5,5,3,5,5,5,5,5,0,0
satisfied,Female,Loyal Customer,33,Business travel,Business,1129,1,1,1,1,5,4,4,5,5,4,5,3,5,3,0,0
dissatisfied,Male,disloyal Customer,43,Business travel,Business,2953,2,2,2,4,5,2,5,5,4,2,5,5,4,5,1,0
satisfied,Male,Loyal Customer,41,Business travel,Business,2767,5,5,5,5,5,5,4,5,5,5,5,3,5,5,0,0
satisfied,Female,Loyal Customer,41,Business travel,Business,2517,4,4,4,4,4,5,5,4,4,4,4,3,4,3,0,1
dissatisfied,Female,Loyal Customer,31,Business travel,Eco,3762,2,3,3,3,2,2,2,2,1,3,3,3,4,2,24,4
satisfied,Female,Loyal Customer,35,Business travel,Eco,951,5,5,5,5,5,5,5,5,3,4,3,2,4,5,14,19
satisfied,Female,Loyal Customer,50,Business travel,Business,401,3,3,3,3,5,4,4,5,5,5,5,3,5,3,0,0
satisfied,Female,Loyal Customer,30,Business travel,Business,3800,4,4,4,4,5,5,5,5,2,4,5,2,2,5,8,0
satisfied,Female,Loyal Customer,58,Business travel,Business,2286,3,3,3,3,4,4,4,2,2,2,2,5,2,4,0,0
dissatisfied,Male,Loyal Customer,33,Personal Travel,Eco,1989,3,4,3,2,1,3,1,1,4,5,3,4,2,1,0,0
dissatisfied,Male,disloyal Customer,31,Business travel,Business,2936,3,3,3,4,3,3,3,3,3,1,2,4,5,3,0,0
satisfied,Male,Loyal Customer,25,Business travel,Eco Plus,1873,0,5,0,1,5,0,4,5,2,3,2,4,5,5,0,1
satisfied,Female,Loyal Customer,10,Personal Travel,Eco,2728,4,4,4,1,4,4,4,4,5,3,5,3,4,4,0,0
satisfied,Female,Loyal Customer,43,Personal Travel,Eco,2629,4,5,4,3,5,5,4,1,1,4,1,3,1,4,0,0
satisfied,Male,disloyal Customer,30,Business travel,Business,2276,4,4,4,2,5,4,1,5,4,4,4,5,4,5,0,0
satisfied,Female,Loyal Customer,35,Personal Travel,Eco,2575,0,4,0,1,2,5,5,1,1,0,1,3,1,4,0,0
satisfied,Female,Loyal Customer,27,Personal Travel,Business,1902,2,2,2,2,4,5,5,4,4,4,4,3,4,5,0,0
satisfied,Female,Loyal Customer,43,Business travel,Business,1126,4,4,4,4,5,5,5,2,2,2,2,4,2,4,0,0
satisfied,Female,Loyal Customer,30,Business travel,Business,2885,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,0
dissatisfied,Female,disloyal Customer,34,Business travel,Eco,1990,2,0,2,2,5,2,5,5,5,3,2,1,5,5,68,87
satisfied,Female,Loyal Customer,53,Business travel,Business,3307,3,3,3,3,4,4,4,5,5,4,5,5,5,5,0,0
satisfied,Female,Loyal Customer,38,Business travel,Eco Plus,1915,5,1,1,1,5,5,5,5,1,3,5,2,4,5,0,0
satisfied,Male,Loyal Customer,40,Business travel,Business,3825,3,3,3,3,2,4,4,4,4,4,5,4,4,4,0,0
satisfied,Female,disloyal Customer,21,Business travel,Business,2253,4,0,4,4,4,2,2,3,2,4,4,2,4,2,185,180
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,1713,3,5,3,4,5,3,5,5,5,4,3,4,5,5,0,0
satisfied,Female,Loyal Customer,22,Business travel,Business,3441,2,2,2,2,4,4,4,4,5,2,4,4,4,4,0,0
satisfied,Female,Loyal Customer,55,Personal Travel,Eco,419,1,1,1,1,5,4,5,5,5,5,5,3,5,3,7,16
satisfied,Female,Loyal Customer,58,Business travel,Business,3476,5,5,5,5,5,5,4,3,3,3,3,3,3,5,0,3
satisfied,Female,Loyal Customer,60,Business travel,Business,531,2,2,2,2,5,5,5,5,5,5,5,3,5,3,0,0
dissatisfied,Female,Loyal Customer,51,Business travel,Business,2664,3,5,5,5,3,3,3,3,1,2,4,3,4,3,0,0
satisfied,Female,Loyal Customer,52,Business travel,Business,3787,5,5,2,5,3,5,4,5,5,5,5,4,5,4,0,0
