satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Female,Loyal Customer,47,Business travel,Eco,388,5,5,5,5,2,4,1,5,5,5,5,2,5,1,55,44
satisfied,Male,disloyal Customer,30,Business travel,Eco,2727,0,0,0,3,3,0,4,3,3,4,4,1,1,3,0,12
satisfied,Female,disloyal Customer,20,Business travel,Business,1505,4,0,4,2,2,4,1,2,4,3,5,3,4,2,0,0
satisfied,Female,Loyal Customer,35,Personal Travel,Eco,2258,4,2,4,2,4,5,4,4,1,5,1,4,5,4,0,0
satisfied,Female,Loyal Customer,55,Business travel,Business,3704,1,1,1,1,4,4,5,3,3,4,3,3,3,4,5,11
dissatisfied,Female,disloyal Customer,40,Business travel,Business,1779,2,2,2,3,5,2,5,5,5,5,4,4,5,5,0,0
dissatisfied,Male,Loyal Customer,42,Personal Travel,Eco Plus,2352,4,4,4,2,1,4,2,1,3,4,5,4,5,1,66,51
satisfied,Male,Loyal Customer,56,Business travel,Business,1701,1,1,1,1,2,4,4,4,4,4,4,5,4,3,0,0
satisfied,Male,Loyal Customer,46,Business travel,Business,2146,2,5,2,2,4,5,4,4,4,4,4,3,4,4,12,16
satisfied,Male,Loyal Customer,42,Business travel,Business,3958,2,2,2,2,3,5,4,5,5,5,5,3,5,3,11,8
dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,2276,2,5,2,4,3,2,3,3,5,3,4,3,5,3,1,0
satisfied,Male,Loyal Customer,27,Business travel,Business,3266,3,3,3,3,4,4,4,4,5,2,4,1,1,4,0,0
satisfied,Female,Loyal Customer,39,Business travel,Business,478,3,3,3,3,3,3,3,4,4,4,4,2,4,3,0,3
dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco,2141,2,2,2,4,5,2,5,5,2,4,4,4,4,5,0,0
dissatisfied,Male,Loyal Customer,34,Personal Travel,Eco,1634,2,4,2,3,3,2,2,3,5,4,1,3,5,3,3,23
dissatisfied,Male,disloyal Customer,31,Business travel,Business,2338,3,4,4,1,3,4,3,3,3,1,3,4,3,3,5,43
satisfied,Female,Loyal Customer,12,Personal Travel,Eco,2121,1,1,1,1,5,1,1,5,5,5,5,1,5,1,0,0
satisfied,Male,Loyal Customer,41,Business travel,Business,4350,1,1,1,1,3,3,3,3,3,5,4,3,5,3,142,137
satisfied,Male,Loyal Customer,67,Personal Travel,Eco,1470,4,0,4,5,5,4,5,5,1,5,4,1,1,5,0,0
dissatisfied,Female,disloyal Customer,40,Business travel,Eco,2238,3,2,3,1,5,3,5,5,2,3,1,4,2,5,52,39
satisfied,Female,Loyal Customer,22,Personal Travel,Eco,2966,5,5,5,5,5,5,4,3,3,4,3,3,3,3,2,0
satisfied,Female,Loyal Customer,43,Business travel,Business,62,1,1,1,1,4,5,5,4,4,4,3,3,4,4,5,13
satisfied,Male,Loyal Customer,60,Business travel,Business,3888,1,1,1,1,3,4,4,4,4,4,4,4,4,5,8,4
dissatisfied,Male,Loyal Customer,25,Business travel,Eco,1960,2,2,2,2,2,2,3,2,4,4,4,2,4,2,0,0
satisfied,Female,Loyal Customer,43,Business travel,Business,1754,4,4,4,4,4,4,5,3,3,4,3,3,3,5,13,15
dissatisfied,Male,Loyal Customer,41,Business travel,Eco,1339,3,3,3,3,3,3,3,3,3,2,4,2,3,3,0,4
dissatisfied,Male,Loyal Customer,46,Business travel,Business,3578,2,2,2,2,4,4,3,2,2,2,2,4,2,1,13,17
satisfied,Female,Loyal Customer,42,Business travel,Business,1097,1,1,1,1,2,5,4,3,3,4,3,5,3,5,0,1
satisfied,Female,Loyal Customer,39,Business travel,Business,1438,4,4,4,4,5,5,4,5,5,5,5,4,5,3,0,0
satisfied,Female,Loyal Customer,18,Personal Travel,Eco,2235,5,4,5,5,3,4,4,2,2,5,2,4,2,3,2,0
satisfied,Female,Loyal Customer,41,Business travel,Business,2630,5,5,5,5,2,5,4,4,4,4,4,4,4,3,21,34
satisfied,Male,Loyal Customer,15,Business travel,Business,2353,1,1,1,1,5,5,5,5,4,3,4,3,4,5,9,0
dissatisfied,Female,disloyal Customer,23,Business travel,Eco,2353,3,3,3,3,4,3,4,4,4,2,3,2,2,4,0,1
dissatisfied,Female,Loyal Customer,66,Business travel,Eco,448,1,1,1,1,5,4,3,1,1,1,1,3,1,2,0,0
satisfied,Female,Loyal Customer,63,Personal Travel,Eco,983,2,2,2,2,4,5,4,4,4,4,4,4,4,4,0,0
satisfied,Female,Loyal Customer,20,Personal Travel,Eco,1885,5,5,4,5,5,5,3,5,3,1,3,3,5,5,0,0
satisfied,Male,Loyal Customer,38,Business travel,Business,875,5,5,5,5,3,4,4,4,4,4,4,5,4,5,0,0
satisfied,Female,Loyal Customer,52,Business travel,Business,1761,4,4,4,4,3,5,5,5,5,5,5,5,5,5,0,0
dissatisfied,Male,Loyal Customer,10,Personal Travel,Eco,2352,3,4,3,3,3,3,3,3,3,5,4,1,4,3,0,0
satisfied,Female,Loyal Customer,28,Business travel,Business,3070,2,1,2,2,5,5,5,5,5,2,5,5,5,5,0,0
dissatisfied,Female,disloyal Customer,42,Business travel,Business,2522,3,3,3,4,3,3,3,3,5,5,4,3,4,3,0,0
dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,1593,2,5,2,5,4,2,4,4,3,5,5,4,4,4,0,17
dissatisfied,Female,disloyal Customer,30,Business travel,Business,2728,2,2,2,2,3,2,1,3,4,5,3,4,5,3,0,21
dissatisfied,Female,Loyal Customer,41,Personal Travel,Eco,1772,4,4,5,3,5,5,5,5,4,5,5,4,4,5,7,16
satisfied,Female,Loyal Customer,52,Personal Travel,Eco,984,3,3,3,3,5,5,5,4,4,4,4,4,4,5,2,3
dissatisfied,Male,disloyal Customer,26,Business travel,Business,1603,3,5,3,3,1,3,1,1,2,5,3,5,5,1,30,40
satisfied,Male,Loyal Customer,50,Business travel,Business,3135,1,1,1,1,4,5,4,3,3,4,3,5,3,5,94,113
satisfied,Female,Loyal Customer,41,Business travel,Business,1459,3,3,3,3,5,5,4,4,4,4,4,3,4,5,7,0
satisfied,Male,Loyal Customer,41,Business travel,Business,2580,2,2,2,2,3,5,4,3,3,4,3,3,3,3,0,0
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,3180,4,4,5,3,4,5,4,4,1,4,4,4,2,4,42,25
satisfied,Female,Loyal Customer,46,Business travel,Business,3241,1,1,1,1,5,4,5,5,5,5,5,4,5,5,32,28
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,3667,4,3,4,2,4,5,5,2,2,1,3,5,2,5,0,0
dissatisfied,Male,Loyal Customer,60,Personal Travel,Business,233,2,2,2,3,5,4,3,1,1,2,1,1,1,1,0,0
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco Plus,1373,3,5,3,3,3,3,3,3,5,2,4,5,4,3,17,43
satisfied,Female,Loyal Customer,68,Personal Travel,Eco,647,2,2,2,2,2,5,4,5,5,5,5,4,5,4,15,0
satisfied,Female,disloyal Customer,24,Business travel,Eco,2237,4,4,4,4,1,4,1,1,3,4,4,5,5,1,0,0
dissatisfied,Male,Loyal Customer,62,Personal Travel,Eco,2837,3,4,3,3,3,4,4,4,4,4,5,4,3,4,130,133
satisfied,Male,Loyal Customer,42,Business travel,Eco,2234,5,1,1,1,5,5,5,5,5,5,4,1,4,5,0,0
satisfied,Female,Loyal Customer,19,Personal Travel,Eco,3251,4,1,4,4,2,4,2,2,3,1,3,4,4,2,0,0
dissatisfied,Male,Loyal Customer,29,Business travel,Business,4953,3,2,2,2,3,3,3,1,5,4,3,3,1,3,294,278
dissatisfied,Female,Loyal Customer,63,Personal Travel,Eco,1178,4,4,4,5,3,4,4,2,2,4,2,2,2,2,0,0
satisfied,Male,Loyal Customer,45,Business travel,Business,2778,1,1,1,1,2,4,5,5,5,5,5,4,5,4,0,0
satisfied,Female,Loyal Customer,26,Business travel,Business,5426,4,4,4,4,3,3,3,3,3,2,5,4,4,3,0,0
dissatisfied,Female,disloyal Customer,20,Business travel,Eco,3015,2,2,2,4,2,2,2,2,1,1,3,3,4,2,10,13
satisfied,Male,Loyal Customer,32,Business travel,Business,4446,5,5,5,5,4,5,4,4,2,5,3,1,2,4,0,0
satisfied,Male,Loyal Customer,33,Business travel,Business,2025,4,4,4,4,4,4,4,4,4,5,1,1,2,4,0,3
dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,1109,1,0,0,4,4,0,4,4,3,3,4,3,4,4,0,0
dissatisfied,Male,disloyal Customer,39,Business travel,Eco,2799,3,3,3,2,2,3,3,2,5,2,5,4,2,2,0,0
dissatisfied,Female,Loyal Customer,49,Business travel,Eco Plus,749,2,4,4,4,3,4,4,2,2,2,2,1,2,4,0,0
dissatisfied,Female,disloyal Customer,42,Business travel,Business,2265,1,1,1,3,1,1,1,1,4,5,4,4,4,1,32,38
dissatisfied,Female,Loyal Customer,42,Personal Travel,Eco,699,3,5,3,4,5,4,5,5,5,3,2,5,5,5,0,0
dissatisfied,Male,Loyal Customer,17,Business travel,Eco,1880,2,1,1,1,2,2,2,2,4,3,3,2,4,2,0,0
satisfied,Female,Loyal Customer,43,Personal Travel,Eco,399,1,1,1,1,4,3,4,5,5,5,5,3,5,4,0,6
dissatisfied,Male,Loyal Customer,47,Business travel,Business,527,3,3,3,3,4,3,3,3,3,3,3,2,3,2,0,0
dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,1373,4,5,4,4,5,4,5,5,4,4,5,5,5,5,11,13
satisfied,Male,Loyal Customer,32,Personal Travel,Eco,3067,5,4,5,5,1,4,1,1,5,5,4,3,5,1,0,0
satisfied,Female,Loyal Customer,61,Business travel,Business,5504,4,4,4,4,5,5,5,1,1,1,2,5,2,5,171,164
satisfied,Female,Loyal Customer,49,Business travel,Eco,905,5,1,1,1,4,1,1,5,5,5,5,2,5,5,0,6
satisfied,Female,Loyal Customer,40,Business travel,Business,1693,1,1,1,1,4,5,5,4,4,4,4,3,4,3,20,30
satisfied,Female,Loyal Customer,49,Business travel,Business,568,3,3,3,3,4,5,4,5,5,5,5,4,5,4,15,9
satisfied,Female,Loyal Customer,8,Personal Travel,Eco,1706,3,3,3,3,2,5,5,4,4,4,4,4,4,4,0,0
dissatisfied,Female,disloyal Customer,38,Business travel,Eco,1292,2,1,2,4,2,2,2,2,3,4,3,3,4,2,26,21
dissatisfied,Male,disloyal Customer,36,Business travel,Business,3574,3,3,3,1,3,5,5,5,5,4,5,5,5,5,2,13
dissatisfied,Female,Loyal Customer,34,Business travel,Business,843,4,3,2,2,2,3,3,4,4,4,4,3,4,2,0,9
satisfied,Female,Loyal Customer,69,Personal Travel,Business,357,2,2,2,2,2,5,5,4,4,4,4,3,4,4,0,17
satisfied,Female,Loyal Customer,17,Personal Travel,Eco,1567,4,1,4,2,3,4,3,3,4,1,2,4,2,3,0,0
satisfied,Male,disloyal Customer,16,Business travel,Business,2358,0,3,0,1,4,0,4,4,3,4,5,3,5,4,30,1
satisfied,Female,Loyal Customer,18,Personal Travel,Eco,2472,1,1,1,1,2,5,4,3,3,3,3,4,3,4,0,0
dissatisfied,Female,Loyal Customer,25,Personal Travel,Eco,2697,4,4,4,4,4,4,3,4,4,5,4,5,5,4,11,0
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,674,3,5,5,5,3,3,3,3,1,2,2,3,2,3,0,0
satisfied,Female,Loyal Customer,39,Business travel,Business,549,5,5,5,5,2,4,4,4,4,4,4,3,4,5,20,16
satisfied,Male,Loyal Customer,46,Business travel,Business,3811,3,3,3,3,4,2,4,4,4,4,4,1,4,4,0,0
dissatisfied,Female,Loyal Customer,36,Business travel,Business,3024,3,2,2,2,3,2,3,3,3,3,3,4,3,4,38,23
dissatisfied,Female,Loyal Customer,46,Business travel,Business,2118,1,5,4,5,1,2,2,3,3,3,1,1,3,3,12,2
satisfied,Female,Loyal Customer,42,Business travel,Business,2665,1,1,1,1,4,4,5,5,5,5,4,3,5,3,0,0
dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco,1784,2,4,2,3,5,2,5,5,3,5,1,2,2,5,13,0
dissatisfied,Male,Loyal Customer,44,Business travel,Business,3630,3,5,5,5,1,4,4,3,3,3,3,3,3,2,0,0
satisfied,Male,Loyal Customer,61,Personal Travel,Eco,1908,5,5,5,4,1,5,1,1,3,5,4,3,5,1,0,0
satisfied,Female,Loyal Customer,47,Business travel,Business,2174,1,1,1,1,5,5,5,5,5,5,5,3,5,5,4,0
satisfied,Male,Loyal Customer,57,Business travel,Business,3271,4,4,4,4,3,5,4,4,4,4,4,5,4,3,7,0
satisfied,Male,Loyal Customer,42,Business travel,Business,3999,3,3,3,3,5,5,5,5,5,5,5,5,5,4,0,0
satisfied,Male,Loyal Customer,24,Business travel,Eco Plus,1844,4,4,4,4,4,4,5,4,4,3,4,5,2,4,0,4
satisfied,Female,Loyal Customer,40,Business travel,Business,3300,5,1,5,5,2,4,4,4,4,4,4,3,4,3,2,0
satisfied,Female,Loyal Customer,25,Business travel,Business,4802,3,3,5,3,5,4,5,5,5,5,3,1,3,5,10,0
dissatisfied,Female,Loyal Customer,60,Personal Travel,Eco Plus,1134,4,5,4,1,2,5,4,1,1,4,1,4,1,3,0,0
dissatisfied,Male,Loyal Customer,26,Personal Travel,Business,1792,2,0,2,1,2,2,4,2,5,4,5,3,4,2,1,0
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1389,5,5,5,1,3,5,3,3,4,2,4,5,4,3,0,0
satisfied,Male,Loyal Customer,29,Business travel,Business,3401,4,4,4,4,5,5,5,5,4,4,4,5,5,5,19,24
satisfied,Male,Loyal Customer,44,Business travel,Business,1193,5,5,5,5,5,5,4,4,4,4,4,4,4,5,0,0
dissatisfied,Female,Loyal Customer,54,Business travel,Business,3932,3,2,2,2,5,2,2,3,3,3,3,1,3,3,0,0
satisfied,Male,Loyal Customer,54,Business travel,Business,231,3,3,3,3,5,4,4,5,5,5,5,4,5,5,16,15
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,886,5,1,5,4,5,3,3,3,3,5,1,2,3,4,0,2
satisfied,Female,Loyal Customer,44,Business travel,Business,3480,2,2,2,2,4,4,5,4,4,5,4,3,4,5,0,2
dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,2189,2,3,2,3,1,2,1,1,1,1,3,3,4,1,0,0
satisfied,Male,Loyal Customer,49,Business travel,Business,2489,5,5,5,5,3,5,4,4,4,4,4,3,4,5,0,0
satisfied,Female,Loyal Customer,56,Business travel,Business,1015,4,4,4,4,3,3,3,5,5,5,5,1,5,4,80,67
dissatisfied,Female,disloyal Customer,34,Business travel,Eco,1711,2,1,3,3,1,3,1,1,4,3,3,4,4,1,0,0
satisfied,Female,Loyal Customer,37,Personal Travel,Eco,4049,4,3,3,3,2,3,3,4,4,4,4,5,4,5,10,43
satisfied,Male,Loyal Customer,26,Business travel,Business,3103,1,1,1,1,3,3,3,3,4,2,5,4,5,3,10,1
satisfied,Female,disloyal Customer,18,Business travel,Eco Plus,2283,5,0,5,5,2,5,2,2,1,1,2,2,5,2,0,5
dissatisfied,Female,disloyal Customer,26,Business travel,Eco,2651,2,2,2,2,3,2,3,3,5,1,4,2,4,3,1,0
dissatisfied,Male,Loyal Customer,36,Business travel,Business,2550,2,1,1,1,1,3,3,2,2,2,2,1,2,4,0,0
satisfied,Female,Loyal Customer,41,Personal Travel,Eco Plus,1286,5,3,3,3,2,5,3,5,5,5,5,1,5,3,0,0
dissatisfied,Male,disloyal Customer,32,Business travel,Business,1308,1,1,1,3,4,1,4,4,5,4,5,5,4,4,0,0
satisfied,Female,Loyal Customer,49,Business travel,Business,4342,4,4,4,4,4,4,4,3,2,4,4,4,3,4,139,150
satisfied,Male,disloyal Customer,24,Business travel,Business,1873,5,4,5,4,3,5,3,3,5,3,4,4,4,3,1,0
dissatisfied,Female,Loyal Customer,68,Personal Travel,Eco,615,4,4,4,3,2,5,5,2,2,4,2,5,2,5,0,0
dissatisfied,Female,disloyal Customer,21,Business travel,Eco,1933,4,3,3,4,3,3,3,3,3,4,4,3,4,3,27,7
satisfied,Female,Loyal Customer,30,Business travel,Business,3508,3,3,3,3,4,4,4,4,3,2,1,1,4,4,0,0
dissatisfied,Male,Loyal Customer,37,Personal Travel,Eco,2456,2,4,2,1,1,2,1,1,4,2,5,4,4,1,0,0
satisfied,Male,Loyal Customer,54,Personal Travel,Eco,2053,5,4,5,5,1,5,1,1,3,3,4,5,4,1,2,0
satisfied,Male,Loyal Customer,35,Business travel,Business,1767,4,4,4,4,5,1,4,4,4,4,4,1,4,4,15,15
dissatisfied,Female,Loyal Customer,23,Business travel,Business,3206,3,3,3,3,3,3,3,3,1,5,3,1,3,3,6,4
satisfied,Female,Loyal Customer,59,Business travel,Business,3918,5,5,2,5,4,5,5,4,4,4,4,4,4,3,0,0
satisfied,Female,Loyal Customer,50,Business travel,Eco,84,5,4,5,4,1,1,1,5,5,5,5,5,5,5,0,0
satisfied,Male,Loyal Customer,35,Business travel,Business,1710,5,5,5,5,3,5,5,4,4,4,4,5,4,4,12,18
dissatisfied,Male,Loyal Customer,37,Business travel,Eco,2688,2,4,4,4,2,2,2,2,4,3,4,4,4,2,0,0
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco,1648,3,4,3,3,3,3,3,3,3,3,1,1,3,3,29,22
satisfied,Female,Loyal Customer,46,Business travel,Business,3099,2,2,5,2,3,5,5,5,5,5,5,4,5,3,7,3
satisfied,Male,disloyal Customer,14,Business travel,Business,1735,5,0,5,4,4,5,4,4,5,3,5,3,5,4,0,0
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,1693,3,3,5,3,5,4,5,5,5,5,5,4,5,3,0,0
satisfied,Female,Loyal Customer,63,Personal Travel,Eco Plus,276,1,4,1,1,3,5,4,4,4,4,4,4,4,4,0,1
satisfied,Male,Loyal Customer,67,Personal Travel,Eco,2088,4,4,4,1,1,4,1,1,3,4,4,4,4,1,0,0
satisfied,Female,Loyal Customer,55,Business travel,Business,3221,4,5,4,4,4,5,5,5,5,5,5,3,5,4,0,0
satisfied,Female,Loyal Customer,57,Personal Travel,Eco,226,5,2,0,2,1,2,3,5,5,0,5,3,5,4,0,0
satisfied,Female,Loyal Customer,56,Business travel,Business,507,4,5,4,4,5,5,4,4,4,4,4,5,4,5,1,0
satisfied,Male,Loyal Customer,52,Business travel,Business,3260,4,4,4,4,2,3,3,5,5,5,5,4,5,3,93,77
dissatisfied,Female,Loyal Customer,17,Personal Travel,Eco,1289,4,3,4,5,3,4,3,3,4,5,3,3,2,3,57,51
dissatisfied,Male,Loyal Customer,37,Personal Travel,Eco Plus,2332,4,5,4,3,3,4,4,3,3,4,5,4,4,3,0,0
satisfied,Female,Loyal Customer,39,Business travel,Business,1784,1,1,1,1,1,2,2,4,4,5,5,4,4,1,0,0
satisfied,Female,Loyal Customer,47,Business travel,Business,2835,2,2,2,2,1,4,2,5,5,5,4,5,5,2,0,0
dissatisfied,Male,Loyal Customer,63,Business travel,Eco,918,1,2,2,2,1,1,1,1,1,4,3,4,3,1,16,20
satisfied,Female,Loyal Customer,57,Business travel,Business,1450,2,2,2,2,2,5,5,4,4,4,4,3,4,4,0,0
dissatisfied,Male,disloyal Customer,39,Business travel,Business,2710,2,2,2,1,1,2,3,1,5,4,4,5,4,1,0,0
satisfied,Male,disloyal Customer,27,Business travel,Business,2878,5,5,5,4,5,4,4,5,2,4,4,4,3,4,0,0
satisfied,Female,Loyal Customer,22,Business travel,Business,1525,5,5,5,5,2,2,2,2,4,4,5,3,5,2,12,0
dissatisfied,Male,Loyal Customer,46,Business travel,Eco,1795,2,1,1,1,2,2,2,2,4,3,3,4,3,2,0,0
dissatisfied,Male,disloyal Customer,16,Business travel,Eco,1885,1,1,1,3,5,1,5,5,1,4,4,1,4,5,0,0
dissatisfied,Male,Loyal Customer,43,Personal Travel,Eco Plus,1142,4,4,4,1,5,4,5,5,3,5,5,5,5,5,0,0
dissatisfied,Female,Loyal Customer,55,Business travel,Eco Plus,1959,2,5,2,2,5,3,4,2,2,2,2,3,2,3,1,0
satisfied,Male,disloyal Customer,39,Business travel,Business,1556,2,2,2,3,2,2,2,2,4,3,5,3,4,2,17,7
dissatisfied,Female,disloyal Customer,32,Business travel,Business,1457,4,4,4,4,1,4,1,1,4,4,4,5,4,1,0,0
satisfied,Male,Loyal Customer,40,Business travel,Business,3092,5,5,5,5,4,3,3,3,3,5,4,3,5,3,271,270
dissatisfied,Male,Loyal Customer,22,Personal Travel,Eco Plus,2991,2,5,2,4,4,2,4,4,4,4,4,3,5,4,0,0
dissatisfied,Female,Loyal Customer,48,Business travel,Business,2231,3,1,1,1,3,4,3,3,3,3,3,4,3,3,0,0
satisfied,Female,Loyal Customer,54,Business travel,Business,2074,4,4,4,4,5,5,4,5,5,5,5,5,5,3,0,0
satisfied,Female,Loyal Customer,27,Business travel,Business,2844,5,5,5,5,5,4,5,5,5,2,3,1,5,5,14,0
satisfied,Male,Loyal Customer,70,Business travel,Business,2904,3,3,3,3,1,2,3,4,4,4,4,5,4,1,0,0
satisfied,Female,Loyal Customer,49,Business travel,Business,1625,2,2,2,2,2,5,4,4,4,4,4,4,4,3,7,9
dissatisfied,Female,Loyal Customer,72,Business travel,Eco,347,3,1,1,1,3,3,3,3,3,3,3,2,3,3,53,50
satisfied,Male,Loyal Customer,31,Business travel,Business,2535,1,1,1,1,2,2,2,2,3,3,5,5,4,2,0,0
dissatisfied,Male,Loyal Customer,16,Personal Travel,Eco,1556,1,4,1,3,2,1,2,2,5,2,5,3,5,2,0,0
dissatisfied,Male,Loyal Customer,53,Business travel,Business,3301,3,4,4,4,1,4,3,3,3,3,3,1,3,4,0,0
satisfied,Female,Loyal Customer,30,Business travel,Business,1934,3,3,3,3,3,4,3,3,4,4,4,2,2,3,0,0
dissatisfied,Male,disloyal Customer,37,Business travel,Business,2605,3,3,3,3,3,5,5,4,4,4,4,5,2,5,0,0
satisfied,Female,Loyal Customer,46,Business travel,Business,1754,3,3,3,3,3,5,4,5,5,5,5,3,5,5,0,0
dissatisfied,Female,disloyal Customer,27,Business travel,Eco,2318,3,1,3,4,3,3,3,3,4,5,3,4,3,3,85,77
satisfied,Female,Loyal Customer,48,Business travel,Business,592,1,1,1,1,3,4,4,4,4,5,4,5,4,3,0,0
dissatisfied,Male,disloyal Customer,28,Personal Travel,Eco,1559,1,4,1,3,4,1,4,4,5,2,4,3,5,4,0,0
dissatisfied,Male,Loyal Customer,68,Personal Travel,Eco,2466,3,4,3,3,4,3,4,4,3,2,5,4,4,4,0,0
dissatisfied,Male,Loyal Customer,51,Business travel,Eco,1984,3,4,4,4,3,3,3,3,1,4,3,3,4,3,0,0
dissatisfied,Male,Loyal Customer,68,Personal Travel,Eco,2895,3,5,3,1,1,3,1,1,4,3,3,4,4,1,0,3
dissatisfied,Female,disloyal Customer,37,Business travel,Eco,1261,2,0,2,2,5,2,5,5,1,1,2,5,4,5,0,0
dissatisfied,Female,disloyal Customer,35,Business travel,Eco,2241,3,3,3,1,2,3,4,2,1,5,2,4,2,2,0,0
dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,2282,1,4,1,3,2,1,2,2,5,4,5,4,5,2,0,0
satisfied,Male,Loyal Customer,46,Business travel,Business,457,3,3,3,3,1,3,1,4,4,4,4,2,4,2,25,26
dissatisfied,Female,Loyal Customer,25,Business travel,Business,3353,2,3,1,1,2,2,2,2,2,2,4,4,5,2,0,0
